ἄγε	ἄγω
ἄγω	ἄνω
ἄδηλος	ἄδολος
ἄλαλος	ἄναλος
ἄλλος	ἄλλως
ἄμωμον	ἄμωμος
ἄνεμος	ἄνομος
ἄνεσις	ἄφεσις
ἄνομος	ἄτομος
ἄπειμι	ἔπειμι
ἄρα	ἆρα
ἄρειος	ἄρτιος
ἄρκος	ἄρτος
ἄτιμος	ἄτομος
ἄτομος	ἄτοπος
ἆσσον	ἆσσος
ἀγαθοεργέω	ἀγαθουργέω
ἀγρός	ἀφρός
ἀδάμ	ἀράμ
ἀλάβαστρον	ἀλάβαστρος
ἀμήν	ἀρήν
ἀνά	ἀρά
ἀνάγω	ἀπάγω
ἀνάλυσις	ἀνάχυσις
ἀναβαίνω	ἀναφαίνω
ἀναβολή	ἀνατολή
ἀναγγέλλω	ἀπαγγέλλω
ἀναιρέω	ἀφαιρέω
ἀνακλίνω	ἀνακρίνω
ἀνατρέπω	ἀνατρέφω
ἀνέρχομαι	ἀπέρχομαι
ἀνήρ	ἀσήρ
ἀνίημι	ἀφίημι
ἀνίστημι	ἐνίστημι
ἀνώτερον	ἀνώτερος
ἀπάγω	ἐπάγω
ἀπαίρω	ἐπαίρω
ἀπαιτέω	ἐπαιτέω
ἀπέρχομαι	ἐπέρχομαι
ἀπέχω	ἐπέχω
ἀπειθέω	ἀπειλέω
ἀπομάσσομαι	ἀποτάσσομαι
ἀπονίπτω	ἀποπίπτω
ἀπονίπτω	ἀπορίπτω
ἀποπίπτω	ἀπορίπτω
ἀργέω	ἀρκέω
ἀρκέω	ἀσκέω
ἀσιτία	ἀσωτία
ἀφικνέομαι	ἐφικνέομαι
ἀφοράω	ἐφοράω
ἅλα	ἅμα
ἅλας	ἅπας
ἅλυσις	ἅλωσις
ἅπαξ	ἅπας
ἁγιότης	ἁγνότης
ἁλιεύς	ἁλιεύω
αἴτιον	αἴτιος
αἶνος	οἶνος
αἰνέω	αἰτέω
αὐγή	αὐλή
αὐλέω	αὐχέω
αὐλός	αὐτός
βάθος	βάρος
βάθος	βάτος
βάθος	πάθος
βάλλω	ψάλλω
βάπτω	θάπτω
βάρος	βάτος
βάσις	φάσις
βαθύς	βαρύς
βαλάκ	βαράκ
βασίλειον	βασίλειος
βασιλεύς	βασιλεύω
βέλος	μέλος
βέλος	τέλος
βίος	βόος
βίος	χίος
