frequency	language	identifier	gloss	lexeme
50272	None	W	and	וְ
30386	None	H	the	הַ
20069	None	L	to	לְ
15542	None	B	in	בְּ
10997	None	>T	<object marker>	אֵת
7562	None	MN	from	מִן
6828	None	JHWH/	YHWH	יְהוָה
5766	None	<L	upon	עַל
5517	None	>L	to	אֶל
5500	None	>CR	<relative>	אֲשֶׁר
5412	None	KL/	whole	כֹּל
5307	None	>MR[	say	אמר
5167	None	L>	not	לֹא
4937	None	BN/	son	בֵּן
4483	None	KJ	that	כִּי
3561	None	HJH[	be	היה
2902	None	K	as	כְּ
2629	None	<FH[	make	עשׂה
2601	None	>LHJM/	god(s)	אֱלֹהִים
2570	None	BW>[	come	בוא
2523	None	MLK/	king	מֶלֶךְ
2506	None	JFR>L/	Israel	יִשְׂרָאֵל
2504	None	>RY/	earth	אֶרֶץ
2304	None	JWM/	day	יֹום
2186	None	>JC/	man	אִישׁ
2127	None	PNH/	face	פָּנֶה
2063	None	BJT/	house	בַּיִת
2010	None	NTN[	give	נתן
1866	None	<M/	people	עַם
1618	None	JD/	hand	יָד
1547	None	HLK[	walk	הלך
1441	None	DBR/	word	דָּבָר
1394	None	HW>	he	הוּא
1298	None	R>H[	see	ראה
1263	None	<D	unto	עַד
1217	None	>B/	father	אָב
1177	None	ZH	this	זֶה
1159	None	CM<[	hear	שׁמע
1138	None	DBR[	speak	דבר
1090	None	<JR/	town	עִיר
1082	None	JCB[	sit	ישׁב
1075	None	DWD==/	David	דָּוִד
1068	None	>M	if	אִם
1068	None	JY>[	go out	יצא
1060	None	HNH	behold	הִנֵּה
1049	None	<M	with	עִם
1038	None	CWB[	return	שׁוב
970	None	>XD/	one	אֶחָד
965	None	LQX[	take	לקח
944	None	JD<[	know	ידע
890	None	<LH[	ascend	עלה
887	None	<JN/	eye	עַיִן
876	None	CNH/	year	שָׁנָה
874	None	>NJ	i	אֲנִי
868	None	>T==	together with	אֵת
864	None	CM/	name	שֵׁם
847	None	CLX[	send	שׁלח
835	None	MWT[	die	מות
834	None	CM	there	שָׁם
819	None	JHWDH/	Judah	יְהוּדָה
810	None	>KL[	eat	אכל
800	None	<BD/	servant	עֶבֶד
788	None	>JN/	<NEG>	אַיִן
781	None	>CH/	woman	אִשָּׁה
769	None	GM	even	גַּם
768	None	CNJM/	two	שְׁנַיִם
766	None	MCH=/	Moses	מֹשֶׁה
754	None	NPC/	soul	נֶפֶשׁ
750	None	KHN/	priest	כֹּהֵן
747	None	>TH	you	אַתָּה
746	None	>LH	these	אֵלֶּה
743	None	H=	<interrogative>	הֲ
732	None	QR>[	call	קרא
731	None	W	and	וְ
726	None	>L=	not	אַל
715	None	>XR/	after	אַחַר
706	None	DRK/	way	דֶּרֶךְ
681	None	MYRJM/	Egypt	מִצְרַיִם
653	None	NF>[	lift	נשׂא
643	None	JRWCLM/	Jerusalem	יְרוּשָׁלִַם
629	None	>X/	brother	אָח
629	None	QWM[	arise	קום
604	None	Z>T	this	זֹאת
602	None	CLC/	three	שָׁלֹשׁ
601	None	LB/	heart	לֵב
599	None	R>C/	head	רֹאשׁ
588	None	BT/	daughter	בַּת
583	None	FJM[	put	שׂים
582	None	MJM/	water	מַיִם
579	None	M>H/	hundred	מֵאָה
577	None	KH	thus	כֹּה
573	None	MH	what	מָה
558	None	HR/	mountain	הַר
555	None	GWJ/	people	גֹּוי
553	None	>DM/	human, mankind	אָדָם
548	None	<BR[	pass	עבר
546	None	KN	thus	כֵּן
526	None	GDWL/	great	גָּדֹול
521	None	<MD[	stand	עמד
506	None	XMC/	five	חָמֵשׁ
505	None	QWL/	sound	קֹול
505	None	TXT/	under part	תַּחַת
500	None	NKH[	strike	נכה
498	None	PH/	mouth	פֶּה
494	None	YWH[	command	צוה
492	None	>LP=/	thousand	אֶלֶף
492	None	JLD[	bear	ילד
490	None	<WD/	duration	עֹוד
490	None	CB</	seven	שֶׁבַע
486	None	YB>/	service	צָבָא
485	None	HJ>	she	הִיא
469	None	VWB/	good	טֹוב
469	None	QDC/	holiness	קֹדֶשׁ
468	None	CMR[	keep	שׁמר
454	None	>RB</	four	אַרְבַּע
453	None	MY>[	find	מצא
438	None	>DNJ/	Lord	אֲדֹנָי
438	None	<WLM/	eternity	עֹולָם
434	None	NPL[	fall	נפל
433	None	<TH	now	עַתָּה
429	None	RB/	much	רַב
423	None	MJ	who	מִי
422	None	MCPV/	justice	מִשְׁפָּט
421	None	CMJM/	heavens	שָׁמַיִם
421	None	FR/	chief	שַׂר
418	None	TWK/	midst	תָּוֶךְ
